Date,Location,Hum,Hum1,Hum2,Hum3,Hum4,Hum5,Hum6,Hum7,Hum8,Hum9,Hum10,Hum11,Hum12,Hum13,Hum14,Hum15,Hum16,Hum17,Hum18,Hum19,Hum20,Hum21,Hum22,Hum23,Hum24,Hum25,Hum26,Hum27,Hum28,Hum29,Hum30,Raf,Raf1,Raf2,Raf3,Raf4,Raf5,Raf6,Raf7,Raf8,Raf9,Raf10,Raf11,Raf12,Raf13,Raf14,Raf15,Raf16,Raf17,Raf18,Raf19,Raf20,Raf21,Raf22,Raf23,Raf24,Raf25,Raf26,Raf27,Raf28,Raf29,Raf30,RfD,RfD1,RfD2,RfD3,RfD4,RfD5,RfD6,RfD7,RfD8,RfD9,RfD10,RfD11,RfD12,RfD13,RfD14,RfD15,RfD16,RfD17,RfD18,RfD19,RfD20,RfD21,RfD22,RfD23,RfD24,RfD25,RfD26,RfD27,RfD28,RfD29,RfD30,Tav,Tav1,Tav2,Tav3,Tav4,Tav5,Tav6,Tav7,Tav8,Tav9,Tav10,Tav11,Tav12,Tav13,Tav14,Tav15,Tav16,Tav17,Tav18,Tav19,Tav20,Tav21,Tav22,Tav23,Tav24,Tav25,Tav26,Tav27,Tav28,Tav29,Tav30,Tmi,Tmi1,Tmi2,Tmi3,Tmi4,Tmi5,Tmi6,Tmi7,Tmi8,Tmi9,Tmi10,Tmi11,Tmi12,Tmi13,Tmi14,Tmi15,Tmi16,Tmi17,Tmi18,Tmi19,Tmi20,Tmi21,Tmi22,Tmi23,Tmi24,Tmi25,Tmi26,Tmi27,Tmi28,Tmi29,Tmi30,Tmx,Tmx1,Tmx2,Tmx3,Tmx4,Tmx5,Tmx6,Tmx7,Tmx8,Tmx9,Tmx10,Tmx11,Tmx12,Tmx13,Tmx14,Tmx15,Tmx16,Tmx17,Tmx18,Tmx19,Tmx20,Tmx21,Tmx22,Tmx23,Tmx24,Tmx25,Tmx26,Tmx27,Tmx28,Tmx29,Tmx30,LandUse,Mosq,level
2011-05-07,YangPyung/WaterPump,80.6,63.3,99.2,140.7,184.8,242.4,317.3,410.9,458.3,515.3,589.6,671.6,732.6,791.1,850.7,934.6,967,1016.3,1057.9,1128,1177.8,1204.1,1281.2,1325.6,1369.7,1407.8,1440.4,1495.8,1549.8,1605.7,1605.7,3.5,1.5,1.5,1.5,1.5,1.5,1.5,84,86,86,88.5,91.5,91.5,91.5,91.5,113.5,113.5,113.5,113.5,117,117,117,117,117,117,117,117,118,118,118,118,1,1,2,2,2,2,2,2,3,4,4,5,6,6,6,6,7,7,7,7,8,8,8,8,8,8,8,8,9,9,9,15.3,16.2,34.5,50.9,66.4,81.2,94.3,94.3,108.2,119.1,130.9,141.8,153.5,163.8,174.3,183.9,198.2,209.6,220.3,227.5,240,252.3,265.2,277.8,289.3,299.5,310.4,321.8,331.7,343.7,343.7,12.2,14.2,27.3,37.3,49.2,58.1,68.3,79.7,87.4,95.2,104.3,114,121,128,134.8,143.3,152,158.1,164.9,170.9,179.1,186.2,195.9,203.2,209.8,214.8,221.5,230.4,236.6,244.6,244.6,22.6,18.7,43.1,65.5,86.4,107.7,124.3,139.7,158.6,173.9,189,200.9,217.4,232.3,247.1,262.3,280.8,298.3,314.6,325.7,344.8,363.5,383.4,401.9,419,435,450.8,466.6,481.6,499.7,499.7,3,0,1
2011-05-08,YangPyung/WaterPump,56.1,80.6,143.9,179.8,221.3,265.4,323,397.9,491.5,538.9,595.9,670.2,752.2,813.2,871.7,931.3,1015.2,1047.6,1096.9,1138.5,1208.6,1258.4,1284.7,1361.8,1406.2,1450.3,1488.4,1521,1576.4,1630.4,1630.4,0,3.5,5,5,5,5,5,5,87.5,89.5,89.5,92,95,95,95,95,117,117,117,117,120.5,120.5,120.5,120.5,120.5,120.5,120.5,120.5,121.5,121.5,121.5,0,0,1,2,2,2,2,2,2,3,4,4,5,6,6,6,6,7,7,7,7,8,8,8,8,8,8,8,8,9,9,17.7,15.3,31.5,49.8,66.2,81.7,96.5,109.6,109.6,123.5,134.4,146.2,157.1,168.8,179.1,189.6,199.2,213.5,224.9,235.6,242.8,255.3,267.6,280.5,293.1,304.6,314.8,325.7,337.1,347,347,11.5,12.2,26.4,39.5,49.5,61.4,70.3,80.5,91.9,99.6,107.4,116.5,126.2,133.2,140.2,147,155.5,164.2,170.3,177.1,183.1,191.3,198.4,208.1,215.4,222,227,233.7,242.6,248.8,248.8,24.2,22.6,41.3,65.7,88.1,109,130.3,146.9,162.3,181.2,196.5,211.6,223.5,240,254.9,269.7,284.9,303.4,320.9,337.2,348.3,367.4,386.1,406,424.5,441.6,457.6,473.4,489.2,504.2,504.2,3,0,1
2011-05-09,YangPyung/WaterPump,78.8,56.1,136.7,200,235.9,277.4,321.5,379.1,454,547.6,595,652,726.3,808.3,869.3,927.8,987.4,1071.3,1103.7,1153,1194.6,1264.7,1314.5,1340.8,1417.9,1462.3,1506.4,1544.5,1577.1,1632.5,1632.5,3,0,3.5,5,5,5,5,5,5,87.5,89.5,89.5,92,95,95,95,95,117,117,117,117,120.5,120.5,120.5,120.5,120.5,120.5,120.5,120.5,121.5,121.5,1,1,1,2,3,3,3,3,3,3,4,5,5,6,7,7,7,7,8,8,8,8,9,9,9,9,9,9,9,9,9,19.3,17.7,33,49.2,67.5,83.9,99.4,114.2,127.3,127.3,141.2,152.1,163.9,174.8,186.5,196.8,207.3,216.9,231.2,242.6,253.3,260.5,273,285.3,298.2,310.8,322.3,332.5,343.4,354.8,354.8,14.7,11.5,23.7,37.9,51,61,72.9,81.8,92,103.4,111.1,118.9,128,137.7,144.7,151.7,158.5,167,175.7,181.8,188.6,194.6,202.8,209.9,219.6,226.9,233.5,238.5,245.2,254.1,254.1,23.3,24.2,46.8,65.5,89.9,112.3,133.2,154.5,171.1,186.5,205.4,220.7,235.8,247.7,264.2,279.1,293.9,309.1,327.6,345.1,361.4,372.5,391.6,410.3,430.2,448.7,465.8,481.8,497.6,513.4,513.4,3,0,1
2011-05-10,YangPyung/WaterPump,89.3,78.8,134.9,215.5,278.8,314.7,356.2,400.3,457.9,532.8,626.4,673.8,730.8,805.1,887.1,948.1,1006.6,1066.2,1150.1,1182.5,1231.8,1273.4,1343.5,1393.3,1419.6,1496.7,1541.1,1585.2,1623.3,1655.9,1655.9,4,3,3,6.5,8,8,8,8,8,8,90.5,92.5,92.5,95,98,98,98,98,120,120,120,120,123.5,123.5,123.5,123.5,123.5,123.5,123.5,123.5,123.5,1,1,2,2,3,4,4,4,4,4,4,5,6,6,7,8,8,8,8,9,9,9,9,10,10,10,10,10,10,10,10,17.2,19.3,37,52.3,68.5,86.8,103.2,118.7,133.5,146.6,146.6,160.5,171.4,183.2,194.1,205.8,216.1,226.6,236.2,250.5,261.9,272.6,279.8,292.3,304.6,317.5,330.1,341.6,351.8,362.7,362.7,15.1,14.7,26.2,38.4,52.6,65.7,75.7,87.6,96.5,106.7,118.1,125.8,133.6,142.7,152.4,159.4,166.4,173.2,181.7,190.4,196.5,203.3,209.3,217.5,224.6,234.3,241.6,248.2,253.2,259.9,259.9,19.3,23.3,47.5,70.1,88.8,113.2,135.6,156.5,177.8,194.4,209.8,228.7,244,259.1,271,287.5,302.4,317.2,332.4,350.9,368.4,384.7,395.8,414.9,433.6,453.5,472,489.1,505.1,520.9,520.9,3,0,1
2011-05-11,YangPyung/WaterPump,74.6,89.3,168.1,224.2,304.8,368.1,404,445.5,489.6,547.2,622.1,715.7,763.1,820.1,894.4,976.4,1037.4,1095.9,1155.5,1239.4,1271.8,1321.1,1362.7,1432.8,1482.6,1508.9,1586,1630.4,1674.5,1712.6,1712.6,17,4,7,7,10.5,12,12,12,12,12,12,94.5,96.5,96.5,99,102,102,102,102,124,124,124,124,127.5,127.5,127.5,127.5,127.5,127.5,127.5,127.5,1,1,2,3,3,4,5,5,5,5,5,5,6,7,7,8,9,9,9,9,10,10,10,10,11,11,11,11,11,11,11,17.4,17.2,36.5,54.2,69.5,85.7,104,120.4,135.9,150.7,163.8,163.8,177.7,188.6,200.4,211.3,223,233.3,243.8,253.4,267.7,279.1,289.8,297,309.5,321.8,334.7,347.3,358.8,369,369,14.5,15.1,29.8,41.3,53.5,67.7,80.8,90.8,102.7,111.6,121.8,133.2,140.9,148.7,157.8,167.5,174.5,181.5,188.3,196.8,205.5,211.6,218.4,224.4,232.6,239.7,249.4,256.7,263.3,268.3,268.3,20.8,19.3,42.6,66.8,89.4,108.1,132.5,154.9,175.8,197.1,213.7,229.1,248,263.3,278.4,290.3,306.8,321.7,336.5,351.7,370.2,387.7,404,415.1,434.2,452.9,472.8,491.3,508.4,524.4,524.4,3,0,1
2011-05-12,YangPyung/WaterPump,64,74.6,163.9,242.7,298.8,379.4,442.7,478.6,520.1,564.2,621.8,696.7,790.3,837.7,894.7,969,1051,1112,1170.5,1230.1,1314,1346.4,1395.7,1437.3,1507.4,1557.2,1583.5,1660.6,1705,1749.1,1749.1,0,17,21,24,24,27.5,29,29,29,29,29,29,111.5,113.5,113.5,116,119,119,119,119,141,141,141,141,144.5,144.5,144.5,144.5,144.5,144.5,144.5,0,0,1,2,3,3,4,5,5,5,5,5,5,6,7,7,8,9,9,9,9,10,10,10,10,11,11,11,11,11,11,16.4,17.4,34.6,53.9,71.6,86.9,103.1,121.4,137.8,153.3,168.1,181.2,181.2,195.1,206,217.8,228.7,240.4,250.7,261.2,270.8,285.1,296.5,307.2,314.4,326.9,339.2,352.1,364.7,376.2,376.2,11.7,14.5,29.6,44.3,55.8,68,82.2,95.3,105.3,117.2,126.1,136.3,147.7,155.4,163.2,172.3,182,189,196,202.8,211.3,220,226.1,232.9,238.9,247.1,254.2,263.9,271.2,277.8,277.8,21.5,20.8,40.1,63.4,87.6,110.2,128.9,153.3,175.7,196.6,217.9,234.5,249.9,268.8,284.1,299.2,311.1,327.6,342.5,357.3,372.5,391,408.5,424.8,435.9,455,473.7,493.6,512.1,529.2,529.2,3,0,1
2011-05-13,YangPyung/WaterPump,56.5,64,138.6,227.9,306.7,362.8,443.4,506.7,542.6,584.1,628.2,685.8,760.7,854.3,901.7,958.7,1033,1115,1176,1234.5,1294.1,1378,1410.4,1459.7,1501.3,1571.4,1621.2,1647.5,1724.6,1769,1769,0,0,17,21,24,24,27.5,29,29,29,29,29,29,111.5,113.5,113.5,116,119,119,119,119,141,141,141,141,144.5,144.5,144.5,144.5,144.5,144.5,0,0,0,1,2,3,3,4,5,5,5,5,5,5,6,7,7,8,9,9,9,9,10,10,10,10,11,11,11,11,11,14.4,16.4,33.8,51,70.3,88,103.3,119.5,137.8,154.2,169.7,184.5,197.6,197.6,211.5,222.4,234.2,245.1,256.8,267.1,277.6,287.2,301.5,312.9,323.6,330.8,343.3,355.6,368.5,381.1,381.1,10.6,11.7,26.2,41.3,56,67.5,79.7,93.9,107,117,128.9,137.8,148,159.4,167.1,174.9,184,193.7,200.7,207.7,214.5,223,231.7,237.8,244.6,250.6,258.8,265.9,275.6,282.9,282.9,19.5,21.5,42.3,61.6,84.9,109.1,131.7,150.4,174.8,197.2,218.1,239.4,256,271.4,290.3,305.6,320.7,332.6,349.1,364,378.8,394,412.5,430,446.3,457.4,476.5,495.2,515.1,533.6,533.6,3,0,1
2011-05-16,YangPyung/WaterPump,48.4,50,89.8,146.3,210.3,284.9,374.2,453,509.1,589.7,653,688.9,730.4,774.5,832.1,907,1000.6,1048,1105,1179.3,1261.3,1322.3,1380.8,1440.4,1524.3,1556.7,1606,1647.6,1717.7,1767.5,1767.5,0,0,0,0,0,17,21,24,24,27.5,29,29,29,29,29,29,111.5,113.5,113.5,116,119,119,119,119,141,141,141,141,144.5,144.5,144.5,0,0,0,0,0,0,1,2,3,3,4,5,5,5,5,5,5,6,7,7,8,9,9,9,9,10,10,10,10,11,11,16.5,17.6,34.7,49.1,65.5,82.9,100.1,119.4,137.1,152.4,168.6,186.9,203.3,218.8,233.6,246.7,246.7,260.6,271.5,283.3,294.2,305.9,316.2,326.7,336.3,350.6,362,372.7,379.9,392.4,392.4,10.9,13.1,25.3,35.9,47.6,62.1,77.2,91.9,103.4,115.6,129.8,142.9,152.9,164.8,173.7,183.9,195.3,203,210.8,219.9,229.6,236.6,243.6,250.4,258.9,267.6,273.7,280.5,286.5,294.7,294.7,22.4,23.8,46.6,66.1,87.6,108.4,127.7,151,175.2,197.8,216.5,240.9,263.3,284.2,305.5,322.1,337.5,356.4,371.7,386.8,398.7,415.2,430.1,444.9,460.1,478.6,496.1,512.4,523.5,542.6,542.6,3,0,1
2011-05-21,YangPyung/WaterPump,85.1,89.8,150.2,191.1,226.5,274.9,324.9,364.7,421.2,485.2,559.8,649.1,727.9,784,864.6,927.9,963.8,1005.3,1049.4,1107,1181.9,1275.5,1322.9,1379.9,1454.2,1536.2,1597.2,1655.7,1715.3,1799.2,1799.2,1,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,29.5,33.5,36.5,36.5,40,41.5,41.5,41.5,41.5,41.5,41.5,124,126,126,128.5,131.5,131.5,131.5,131.5,153.5,153.5,1,1,2,2,2,2,2,2,2,2,2,3,4,5,5,6,7,7,7,7,7,7,8,9,9,10,11,11,11,11,11,15.3,17.8,38.7,59.6,77.1,93.6,111.2,128.3,142.7,159.1,176.5,193.7,213,230.7,246,262.2,280.5,296.9,312.4,327.2,340.3,340.3,354.2,365.1,376.9,387.8,399.5,409.8,420.3,429.9,429.9,12.8,15.8,34.1,47.7,59.1,70,83.1,95.3,105.9,117.6,132.1,147.2,161.9,173.4,185.6,199.8,212.9,222.9,234.8,243.7,253.9,265.3,273,280.8,289.9,299.6,306.6,313.6,320.4,328.9,328.9,18.9,20.7,45.2,71.1,93.9,116.3,140.1,162.9,182.4,203.9,224.7,244,267.3,291.5,314.1,332.8,357.2,379.6,400.5,421.8,438.4,453.8,472.7,488,503.1,515,531.5,546.4,561.2,576.4,576.4,3,2,1
2011-05-24,YangPyung/WaterPump,39.5,45.3,103.1,188.2,278,338.4,379.3,414.7,463.1,513.1,552.9,609.4,673.4,748,837.3,916.1,972.2,1052.8,1116.1,1152,1193.5,1237.6,1295.2,1370.1,1463.7,1511.1,1568.1,1642.4,1724.4,1785.4,1785.4,0,0,0,1,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,30.5,34.5,37.5,37.5,41,42.5,42.5,42.5,42.5,42.5,42.5,125,127,127,129.5,132.5,132.5,132.5,0,0,0,0,1,2,2,2,2,2,2,2,2,2,3,4,5,5,6,7,7,7,7,7,7,8,9,9,10,11,11,21.7,20.1,38,53.3,71.1,92,112.9,130.4,146.9,164.5,181.6,196,212.4,229.8,247,266.3,284,299.3,315.5,333.8,350.2,365.7,380.5,393.6,393.6,407.5,418.4,430.2,441.1,452.8,452.8,14.1,16.3,27.8,40.6,56.4,74.7,88.3,99.7,110.6,123.7,135.9,146.5,158.2,172.7,187.8,202.5,214,226.2,240.4,253.5,263.5,275.4,284.3,294.5,305.9,313.6,321.4,330.5,340.2,347.2,347.2,28.4,26.3,50.3,69.2,89.9,114.4,140.3,163.1,185.5,209.3,232.1,251.6,273.1,293.9,313.2,336.5,360.7,383.3,402,426.4,448.8,469.7,491,507.6,523,541.9,557.2,572.3,584.2,600.7,600.7,3,0,1
