Location,Date,Hum5,Raf6,RfD29,RfD30,Tav16,Tmi2,Tmx19,LandUse,level
YangPyung/WaterPump,2012.5.7,224.2,1.5,9,9,198.2,27.3,325.7,3,1
YangPyung/WaterPump,2012.5.8,210.2,5,9,9,199.2,26.4,337.2,3,1
YangPyung/WaterPump,2012.5.9,183.9,5,9,9,207.3,23.7,345.1,3,1
YangPyung/WaterPump,2012.5.10,180.5,8,10,10,216.1,26.2,350.9,3,1
YangPyung/WaterPump,2012.5.11,183.2,12,11,11,223,29.8,351.7,3,1
YangPyung/WaterPump,2012.5.12,206.7,29,11,11,228.7,29.6,357.3,3,1
YangPyung/WaterPump,2012.5.13,231.3,27.5,11,11,234.2,26.2,364,3,1
YangPyung/WaterPump,2012.5.14,256.8,21,11,11,246.7,25.3,386.8,3,1
YangPyung/WaterPump,2012.5.15,290.2,12.5,11,11,280.5,34.1,421.8,3,1
YangPyung/WaterPump,2012.5.16,310.4,13.5,11,11,284,27.8,426.4,3,1
YangPyung/WaterPump,2012.5.17,313.6,13.5,10,10,288,30.4,430.4,3,1
YangPyung/WaterPump,2012.5.18,312.3,13.5,9,9,291.7,31.7,439.8,3,1
YangPyung/WaterPump,2012.5.19,310.7,3.5,9,9,321.2,33.4,469.1,3,1
YangPyung/WaterPump,2012.5.20,269.9,23.5,9,9,322.9,31.3,471.6,3,1
YangPyung/WaterPump,2012.5.21,243.7,23.5,9,9,324.3,30.5,473.4,3,1
YangPyung/WaterPump,2012.5.22,219.9,23.5,9,9,322.5,29.5,474.7,3,1
YangPyung/WaterPump,2012.5.23,197.9,24,8,8,320.3,30.5,476.2,3,1
YangPyung/WaterPump,2012.5.24,186,24,8,8,322.8,32.4,480.2,3,1
YangPyung/WaterPump,2012.5.25,201,20.5,7,7,328.4,30.4,481.6,3,1
YangPyung/WaterPump,2012.5.26,207.3,0.5,6,6,331.5,30.1,483.9,3,1
YangPyung/WaterPump,2012.5.27,217.3,0.5,5,5,333.5,33.6,490.8,3,1
YangPyung/WaterPump,2012.5.28,248.3,0.5,5,5,331.2,35.4,493.8,3,1
YangPyung/WaterPump,2012.5.29,266.8,0,5,5,329.9,35.2,494.1,3,2
YangPyung/WaterPump,2012.5.30,254.6,0,5,5,333.2,37.4,497.3,3,1
YangPyung/WaterPump,2012.5.31,253.6,0,5,5,336.5,38.8,498.5,3,1
YangPyung/WaterPump,2012.6.1,267.4,0,5,5,334.8,35.6,496.7,3,1
YangPyung/WaterPump,2012.6.2,254.1,0,5,5,333.3,32.9,501.4,3,1
YangPyung/WaterPump,2012.6.3,240.9,0,5,5,335.5,35,508,3,1
YangPyung/WaterPump,2012.6.4,239,0,5,5,342.8,38.9,511.9,3,1
YangPyung/WaterPump,2012.6.5,229.7,0,4,4,349.7,42.3,511.9,3,1
YangPyung/WaterPump,2012.6.6,233.7,0,3,3,354.8,42.4,512.8,3,1
YangPyung/WaterPump,2012.6.7,243.4,0,3,3,362.2,40.9,521,3,1
YangPyung/WaterPump,2012.6.12,306.9,0,3,3,369.3,41.7,530.8,3,1
YangPyung/WaterPump,2012.6.13,303,0,4,4,373.4,40.5,536,3,5
YangPyung/WaterPump,2012.6.14,289.7,21,5,5,375.6,40.1,536.8,3,1
YangPyung/WaterPump,2012.6.15,279.3,61.5,6,6,376.6,41.8,536,3,1
YangPyung/WaterPump,2012.6.16,273.3,76,7,7,374.3,39.7,531.7,3,4
YangPyung/WaterPump,2012.6.17,275.2,123.5,8,8,373,35.7,524.3,3,2
YangPyung/WaterPump,2012.6.18,268.8,163.5,9,9,370.4,34.2,519.3,3,2
YangPyung/WaterPump,2012.6.19,262.2,174.5,10,10,365.7,35.5,512.5,3,2
YangPyung/WaterPump,2012.6.20,257.9,155,10,10,366.2,36.4,520.3,3,2
YangPyung/WaterPump,2012.6.21,254.2,318,10,10,366.5,37.7,518.5,3,1
YangPyung/WaterPump,2012.6.22,248.2,319,10,10,368.5,41,517.5,3,1
YangPyung/WaterPump,2012.6.23,257.1,271.5,10,10,369.3,44.4,517.2,3,5
YangPyung/WaterPump,2012.6.24,266.4,231.5,10,10,367.8,45.2,519,3,2
YangPyung/WaterPump,2012.6.25,269.9,360.5,10,10,365.3,42.7,514.7,3,1
YangPyung/WaterPump,2012.6.26,261.3,359,10,10,363.7,39.8,511.1,3,3
YangPyung/WaterPump,2012.6.27,250.9,155.5,10,10,361.6,38.5,509.6,3,6
YangPyung/WaterPump,2012.6.28,236.6,140,11,11,361.6,40,510.1,3,5
YangPyung/WaterPump,2012.6.29,231.2,188.5,12,12,360.1,41.9,506.7,3,2
YangPyung/WaterPump,2012.6.30,243.3,204.5,13,13,359.5,41.9,499,3,3
YangPyung/WaterPump,2012.7.1,290.6,94,14,14,361.5,41.5,495.7,3,4
YangPyung/WaterPump,2012.7.2,325.8,97,15,15,366.3,42.7,495,3,1
YangPyung/WaterPump,2012.7.3,341.5,144.5,16,16,369.8,42.2,491.7,3,2
YangPyung/WaterPump,2012.7.4,369.2,190.5,17,17,373.8,41.4,494.5,3,1
YangPyung/WaterPump,2012.7.5,388.6,165.5,18,18,379.1,44.1,498.4,3,1
