Date,Mosq
2012.5.1,86.26923077
2012.5.2,86.26923077
2012.5.3,86.26923077
2012.5.4,86.26923077
2012.5.5,86.26923077
2012.5.6,140
2012.5.7,96
2012.5.8,107
2012.5.9,70
2012.5.10,88
2012.5.11,65
2012.5.12,41
2012.5.13,74
2012.5.14,68
2012.5.15,65
2012.5.16,70
2012.5.17,65
2012.5.18,72
2012.5.19,130
2012.5.20,99
2012.5.21,72
2012.5.22,78
2012.5.23,100
2012.5.24,105
2012.5.25,102
2012.5.26,91
2012.5.27,88
2012.5.28,116
2012.5.29,93
2012.5.30,93
2012.5.31,55
2012.6.1,88
2012.6.2,220
2012.6.3,77
2012.6.4,109
2012.6.5,84
2012.6.6,106
2012.6.7,94
2012.6.8,2
2012.6.9,231
2012.6.10,107
2012.6.11,221
2012.6.12,163
2012.6.13,131
2012.6.14,205
2012.6.15,430
2012.6.16,547
2012.6.17,300
2012.6.18,214
2012.6.19,596
2012.6.20,483
2012.6.21,605
2012.6.22,364
2012.6.23,288
2012.6.24,295
2012.6.25,349
2012.6.26,307
2012.6.27,82
2012.6.28,93
2012.6.29,361
2012.6.30,406
2012.7.1,193
2012.7.2,92
2012.7.3,63
2012.7.4,78
2012.7.5,173
2012.7.6,297
2012.7.7,404
2012.7.8,164
2012.7.9,154
2012.7.10,143
2012.7.11,195
2012.7.12,193
2012.7.13,135
2012.7.14,721
2012.7.15,817
2012.7.16,731
2012.7.17,860
2012.7.18,2035
2012.7.19,2516
2012.7.20,2075
2012.7.21,646
2012.7.22,595
2012.7.23,551
2012.7.24,299
2012.7.25,253
2012.7.26,256
2012.7.27,135
2012.7.28,87
2012.7.29,205
2012.7.30,54
2012.7.31,18
2012.8.1,26
2012.8.2,36
2012.8.3,59
2012.8.4,31
2012.8.5,36
2012.8.6,32
2012.8.7,53
2012.8.8,702
2012.8.9,705
2012.8.10,314
2012.8.11,407
2012.8.12,9
2012.8.13,144
2012.8.14,249
2012.8.15,107
2012.8.16,85
2012.8.17,105
2012.8.18,85
2012.8.19,90
2012.8.20,90
2012.8.21,92
2012.8.22,77
2012.8.23,199
2012.8.24,208
2012.8.25,131
2012.8.26,78
2012.8.27,24
2012.8.28,168
2012.8.29,181
2012.8.30,235
2012.8.31,227
2012.9.1,265
2012.9.2,163
2012.9.3,290
2012.9.4,216
2012.9.5,665
2012.9.6,785
2012.9.7,298
2012.9.8,461
2012.9.9,270
2012.9.10,203
2012.9.11,189
2012.9.12,453
2012.9.13,369
2012.9.14,303
2012.9.15,572
2012.9.16,231
2012.9.17,213
2012.9.18,233
2012.9.19,320
2012.9.20,381
2012.9.21,397
2012.9.22,454
2012.9.23,302
2012.9.24,258
2012.9.25,1115
2012.9.26,2232
2012.9.27,141
2012.9.28,200
2012.9.29,208
2012.9.30,257
2012.10.1,266
2012.10.2,168
2012.10.3,233
2012.10.4,210
2012.10.5,257
2012.10.6,215
2012.10.7,199
2012.10.8,246
2012.10.9,197
2012.10.10,337
2012.10.11,312
2012.10.12,296
2012.10.13,240.0666667
2012.10.14,240.0666667
2012.10.15,240.0666667
2012.10.16,240.0666667
2012.10.17,240.0666667
2012.10.18,240.0666667
2012.10.19,240.0666667
2012.10.20,240.0666667
2012.10.21,240.0666667
2012.10.22,240.0666667
2012.10.23,240.0666667
2012.10.24,240.0666667
2012.10.25,240.0666667
2012.10.26,240.0666667
2012.10.27,240.0666667
2012.10.28,240.0666667
2012.10.29,331.25
2012.10.30,331.25
2012.10.31,331.25
2012.11.1,331.25
2012.11.2,331.25
2012.11.3,331.25
2012.11.4,331.25
2012.11.5,331.25
2012.11.6,331.25
2012.11.7,331.25
2012.11.8,331.25
2012.11.9,331.25
2012.11.10,331.25
2012.11.11,331.25
2012.11.12,331.25
2012.11.13,331.25
2012.11.14,331.25
2012.11.15,331.25
2012.11.16,0
2012.11.17,0
2012.11.18,10
2012.11.19,283
2012.11.20,228
2012.11.21,340
2012.11.22,484
2012.11.23,349
2012.11.24,424
2012.11.25,784
