Location,Date,Hum,Raf,Tmx,Tav,Tmi
108,2012.1.1,64.5,0,0.4,-3,-6.9
108,2012.1.2,66.5,,-1.2,-4.8,-8.3
108,2012.1.3,68.3,0.4,-0.2,-4.5,-6.8
108,2012.1.4,55.4,0,-4.3,-7.4,-9.6
108,2012.1.5,49.8,,-1.3,-5.7,-9.8
108,2012.1.6,42.9,,1.3,-2.8,-5.6
108,2012.1.7,46.5,,2,-3.8,-8
108,2012.1.8,54.3,,0.4,-2.5,-5.5
108,2012.1.9,66.1,0,2.7,-0.3,-1.8
108,2012.1.10,53.9,,1.5,-2.5,-5.8
108,2012.1.11,42.3,,-3.3,-6,-8.1
108,2012.1.12,56.5,0,-0.4,-4.6,-10.3
108,2012.1.13,52.8,,2.6,-1.2,-4.1
108,2012.1.14,51.6,,2.7,-1.5,-6.3
108,2012.1.15,44.5,,0.3,-2.6,-4.7
108,2012.1.16,44.6,,7.8,1,-5.1
108,2012.1.17,48.5,,8.2,2.8,0
108,2012.1.18,39.8,,5.4,1.4,-2.2
108,2012.1.19,54.4,0.2,8.4,5.3,1.4
108,2012.1.20,61,0.5,8.3,5.4,3.7
108,2012.1.21,60.3,0.1,5.7,2.4,-2.6
108,2012.1.22,37.9,,-2.4,-7.7,-11.6
108,2012.1.23,33.3,,-5.3,-9.6,-12.2
108,2012.1.24,39.9,1.6,-3.1,-7.3,-11.8
108,2012.1.25,41.3,,-5,-8.2,-11.6
108,2012.1.26,54.5,0,1.8,-2.9,-8.5
108,2012.1.27,64.6,0,4.9,-0.9,-4.4
108,2012.1.28,24.4,,3.1,-1.8,-6
108,2012.1.29,23.4,,1.6,-2.8,-5.5
108,2012.1.30,22.4,,-0.8,-5.6,-8.8
108,2012.1.31,48.4,3.9,-0.3,-4.7,-8.5
108,2012.2.1,47.9,,-8.1,-12.8,-15.3
108,2012.2.2,44.4,,-9.5,-13.7,-17.1
108,2012.2.3,54.3,0.1,-3.9,-8.6,-14.5
108,2012.2.4,48.5,0.2,1,-3,-5.2
108,2012.2.5,36.1,,4.8,-0.9,-4.5
108,2012.2.6,50.6,0.2,7,0.9,-3.2
108,2012.2.7,42.3,0,-0.1,-8.7,-11.5
108,2012.2.8,39.1,,-3.8,-8,-12.1
108,2012.2.9,48.9,,-0.5,-4.5,-9
108,2012.2.10,46.4,0,1.7,-3.5,-6.9
108,2012.2.11,42.5,,0.8,-3.8,-9.2
108,2012.2.12,34.4,,4.8,-0.1,-5
108,2012.2.13,26.3,,8.4,3.1,0.2
108,2012.2.14,48.9,,8.3,3,-0.3
108,2012.2.15,31.5,,3,-1.3,-4.1
108,2012.2.16,32.4,,2.7,-2.8,-6.1
108,2012.2.17,35.1,,-2.9,-6.4,-8.8
108,2012.2.18,38.9,,-2.2,-6.8,-9.6
108,2012.2.19,39.6,,1.3,-4.4,-9.6
108,2012.2.20,56.8,,5.3,-0.2,-5.5
108,2012.2.21,59.1,,5.5,2.3,-0.9
108,2012.2.22,46.6,,12.1,5.8,-0.8
108,2012.2.23,64.4,0.3,8.2,4.4,1.1
108,2012.2.24,61.3,,9.7,4.3,0.2
108,2012.2.25,57.4,,5,1.2,-2.3
108,2012.2.26,33.5,,3.2,-1.6,-4
108,2012.2.27,31.3,,5.2,-0.7,-5.9
108,2012.2.28,26.6,,7.3,2.1,-3.2
108,2012.2.29,27.1,,11.8,5.4,-1.5
108,2012.3.1,20.1,,14.6,8.7,4
108,2012.3.2,54.6,0.3,9.5,6.9,5.2
108,2012.3.3,47.1,,12.9,6.9,2.7
108,2012.3.4,49.9,0,9.7,6.2,3
108,2012.3.5,66.9,7,8.5,5.3,3.1
108,2012.3.6,81.6,8.5,4.6,3,1.8
108,2012.3.7,60.1,,7.7,3,-0.2
108,2012.3.8,47.8,,5.2,2,-0.3
108,2012.3.9,48.9,,9.1,3.4,-2.1
108,2012.3.10,52.5,,8.9,3.9,1.3
108,2012.3.11,43,0,1.3,-2.4,-4.6
108,2012.3.12,40.1,,3.2,-1.6,-5.7
108,2012.3.13,49.8,,6.6,1.7,-3.5
108,2012.3.14,70.4,0,5.9,3.6,1.8
108,2012.3.15,35.8,,11.8,5.5,-1.7
108,2012.3.16,51.1,4,12.9,8.1,5.7
108,2012.3.17,71.4,2,16.1,10.4,6.8
108,2012.3.18,62.8,,11.5,6.9,2.2
108,2012.3.19,38,,7.2,2.8,-0.5
108,2012.3.20,30.6,,8.3,3.1,-1.9
108,2012.3.21,36.3,,10.4,4.3,-0.5
108,2012.3.22,53.6,0,11.4,7.8,3.3
108,2012.3.23,82.5,22,9.7,5,2.3
108,2012.3.24,54.5,3.5,6.9,3.3,1.5
108,2012.3.25,36.6,,7.7,3.6,0.9
