"Location","Date","Hum","Raf","Tmx","Tav","Tmi","Mosq"
"Yang_WaterPump","2012.5.1","46.1","nan","28.3","22.6","17.3","86.26923077"
"Yang_WaterPump","2012.5.2","47.3","0.4","29.1","23.1","19.0","86.26923077"
"Yang_WaterPump","2012.5.3","53.8","0.2","25.4","20.0","17.0","86.26923077"
"Yang_WaterPump","2012.5.4","48.8","nan","25.7","19.7","14.3","86.26923077"
"Yang_WaterPump","2012.5.5","42.4","nan","24.9","18.8","13.5","86.26923077"
"Yang_WaterPump","2012.5.6","31.9","nan","24.1","18.1","13.1","140.0"
"Yang_WaterPump","2012.5.7","33.3","nan","24.9","18.5","12.2","96.0"
"Yang_WaterPump","2012.5.8","27.5","nan","28.0","20.8","14.2","107.0"
"Yang_WaterPump","2012.5.9","45.4","nan","27.4","20.7","15.0","70.0"
"Yang_WaterPump","2012.5.10","45.1","nan","26.6","20.1","15.5","88.0"
"Yang_WaterPump","2012.5.11","55.4","nan","19.2","16.2","13.2","65.0"
"Yang_WaterPump","2012.5.12","57.9","nan","21.1","17.1","14.4","41.0"
"Yang_WaterPump","2012.5.13","53.0","nan","25.2","19.1","14.8","74.0"
"Yang_WaterPump","2012.5.14","78.8","6.5","17.2","16.1","15.1","68.0"
"Yang_WaterPump","2012.5.15","65.3","0.0","22.7","16.9","13.0","65.0"
"Yang_WaterPump","2012.5.16","58.6","0.0","22.0","16.6","12.7","70.0"
"Yang_WaterPump","2012.5.17","56.6","0.5","20.5","16.6","13.9","65.0"
"Yang_WaterPump","2012.5.18","51.4","nan","24.5","18.1","12.0","72.0"
"Yang_WaterPump","2012.5.19","38.0","nan","25.8","19.5","13.1","130.0"
"Yang_WaterPump","2012.5.20","39.1","nan","28.7","21.3","14.5","99.0"
"Yang_WaterPump","2012.5.21","34.8","nan","28.9","23.0","17.2","72.0"
"Yang_WaterPump","2012.5.22","34.6","nan","29.3","23.3","17.8","78.0"
"Yang_WaterPump","2012.5.23","39.5","nan","27.8","22.1","18.3","100.0"
"Yang_WaterPump","2012.5.24","53.0","nan","24.0","19.7","17.0","105.0"
"Yang_WaterPump","2012.5.25","45.4","nan","26.6","20.5","16.2","102.0"
"Yang_WaterPump","2012.5.26","44.8","nan","26.1","19.8","14.1","91.0"
"Yang_WaterPump","2012.5.27","65.6","0.3","23.4","19.3","17.1","88.0"
"Yang_WaterPump","2012.5.28","58.0","0.1","26.0","20.9","16.4","116.0"
"Yang_WaterPump","2012.5.29","40.8","nan","25.4","21.6","18.8","93.0"
"Yang_WaterPump","2012.5.30","44.4","0.0","23.6","20.7","18.6","93.0"
"Yang_WaterPump","2012.5.31","58.6","0.2","27.2","20.9","16.6","55.0"
